dish_name,cross_contam,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
Add Side Honey-Mustard,,1,,,,,,,,VT,etnree
Add Side House BBQ Sauce,,,,,,,1,,,VG,etnree
Add Side Ranch,,1,,1,,,,,,VT,etnree
Steak Add Shrimp,,,,,,1,1,,,,etnree
Classic Ribeye,,,,1,,,1,,,,etnree
Classic Sirloin,,,,1,,,1,,,,etnree
Country-Fried Steak,1,,,1,,,1,,1,,etnree
Burger Bites,,,,,,,1,,1,,kids
Cheese Quesadilla,,,,1,,,1,,1,VT,kids
Cheeseburger Bites,,,,1,,,1,,1,,kids
Cheesy Chicken Pasta,,,,1,,,1,,1,,kids
Crispy Chicken Crispers with Ranch,1,1,,1,,,,,1,,kids
Grilled Cheese Sandwich,,,,1,,,1,,1,,kids
Grilled Chicken Bites,,,,,,,1,,1,,kids
Grilled Chicken Dippers with Ranch,,1,,1,,,,,,,kids
Kraft® Macaroni & Cheese,,,,1,,,,,1,,kids
Original Ribs,,,,,,,,,,,kids
Pizza - Cheese,,,,1,,,1,,1,VT,kids
Pizza - Pepperoni,,,,1,,,1,,1,,kids
Side Corn on the Cob,,,,,,,,,,VG,kids
Side Fresh Pineapple,,,,,,,,,,VG,sides_kids
Side Fries,1,,,,,,,,,VG,sides_kids
Side Mandarin Oranges,,,,,,,,,,VG,sides_kids
Side Mashed Potatoes  w/o  Gravy,,,,1,,,1,,,VT,sides_kids
Side Salad with Ranch,,1,,1,,,1,,1,VT,sides_kids
Side Steamed Broccoli,,,,,,,,,,VG,sides_kids
Bacon Avocado Grilled Chicken Sandwich  w/o Side Fries,,1,,1,,,1,,1,,entree
Bacon Ranch Chicken Quesadilla w/o  Chips & Salsa,,1,,1,,,1,,1,,entree
Boneless Wings - Buffalo w/o Side Fries,1,1,1,1,,,1,,1,,entree
Boneless Wings - Honey Chipotle w/o Side Fries,1,1,,1,,,1,,1,,entree
Boneless Wings - House BBQ w/o Side Fries,1,1,,1,,,1,,1,,entree
Boneless Wings - Mango-Habanero w/o Side Fries,1,1,,1,,,1,,1,,entree
CA Turkey Club Toasted Sandwich  w/o Side Fries,,1,,1,,,1,,1,,entree
Chipotle Chicken Fresh Mex Bowl,1,1,,1,,,1,,,,entree
Double Burger  w/o Side Fries,,,,1,,,1,,1,,entree
"Lunch Chicken Fajitas w/o Toppings, Tortillas, or Sides",,,,1,,,1,,,,entree
"Lunch Shrimp Fajitas w/o Toppings, Tortillas, or Sides",,,,1,,1,1,,,,entree
Add White Queso & Pico,,,,1,,,1,,,,entree
Add Guacamole,,,,,,,,,,VG,entree
Fajita Toppings,,,,1,,,,,,VT,entree
Side Mexican Rice & Beans,,,,,,,,,,VG,entree
Tortillas - Flour,,,,,,,,,1,VG,entree
